"","PC1","PC2","PC3","PC4","PC5","PC6"
"21",-0.303612852471001,-0.440788916608414,0.217888548136416,0.129205195912765,-0.00892844492989944,-0.0439107341192008
"71",-0.786518809964884,0.0148593681989409,0.0319636323888148,0.0163985333498881,0.0358955212775468,0.0447700131434716
"50",-0.483022654316673,0.0861844787339056,-0.290477111912558,-0.00517791318319707,0.0422790008169136,-0.0195545841791519
"14",0.996026650433579,1.10770055632144,-0.743874385990963,-0.0589974418537087,0.0149337209860941,0.0355463563337239
"74",-0.524203088198791,0.0963042110231694,0.104033609109622,-0.0306265095782128,-0.118512895351532,-0.00573003912707376
"9",-0.713336188722044,-0.0557552215425836,-0.221904152245651,0.00407157431893473,0.0159999920746528,-0.0143704798702032
"32",-0.239403190062282,0.1974138306357,0.166757643277187,0.110544717391181,-0.0405669157939824,-0.00425375215604946
"20",-0.851339379106095,0.031530713803115,0.0155669616398678,0.0393382721434528,0.0121621266216358,0.00434467664116055
"168",-0.174301600087168,0.278637282393788,-0.313230470308124,0.0630773672908581,-0.0417541123012079,-0.0105829584556518
"152",-0.852246260274211,0.00138366731933905,0.010505286674788,0.00435502803709117,-0.0107463885103272,0.00444282482808223
"202",0.966295854342364,0.567474201721327,-0.404167876001589,0.0955333925593374,-0.0685017454039404,-0.0179660480246531
"175",2.38836473670932,1.00938621283133,0.49116856269078,-0.0547885737156592,0.0683236191032553,-0.0202964864888289
"187",-0.430436949701568,0.225736592520458,-0.330772451558347,0.00923474506067232,-0.0149952872552451,-0.00507424650771029
"194",0.109103778718749,-0.167798496666533,0.511127150062196,-0.736319278524544,-0.0560874823232086,0.00703574516613293
"193",0.420258913206891,0.186475048288169,0.0393556168707115,0.198254513566322,-0.00403546946971942,0.0201880519688003
"47",-0.794172219366177,-0.136123135389497,-0.147261949549198,-0.082659145345754,0.0510176549182919,0.00262178959300055
"159",-0.504285106693999,-0.252588204578164,0.182765138027458,-0.0803258789691076,0.153547009199723,-0.0110415761098036
"80",1.59427018069164,-2.62427229128554,-0.390003961186247,0.0241634963778539,-0.00540765928247389,0.00930463330092151
"192",0.182558184862361,-0.125759897719954,1.07056020987484,0.354717905161831,-0.0246222443765783,0.0245268140630327
