"","PC1","PC2","PC3","PC4","PC5","PC6"
"X1",0.0975724467200821,-0.110640872517062,0.0789378818929061,-0.46553213961003,-0.868990830992927,0.0119074939559127
"X2",0.795746950197272,0.494771422368104,-0.348887913978112,-0.00693653039701016,-0.00142189578734106,0.0146668707639247
"X3",0.281846820218343,-0.715087952713443,-0.393604860233974,0.300128717624913,-0.0792913229242865,-0.397394568134545
"X4",0.131407608979896,-0.313124051674349,-0.109431137618953,0.186482110749626,-0.0426903060773024,0.914391685669789
"X5",0.397947483500592,-0.0632070130457373,0.807168179007387,0.414317681710293,-0.0968807942281607,-0.0712542981665576
"X6",0.319685188120029,-0.359954522940717,0.231572030262241,-0.697653026500678,0.47682014371066,0.0230504203344603
