"","Comp 1","Comp 2"
"152",0.744453292233574,-0.1610250369316
"202",-0.506092280903141,0.8008477496537
"175",-1.86419075220878,0.389173168828867
"187",0.559787077579342,0.312865720951427
"194",-0.363261985493548,-0.702404547403738
"193",-0.294728965564915,0.172802022484616
"47",0.680308242596403,-0.0967732270576812
"159",0.283490565004956,-0.394529908538149
"80",-2.26201868166967,-0.435049434407805
"192",-0.49401115253642,-0.869985035496867
"21",0.0471476702378813,-0.39240827334956
"71",0.685210113077645,-0.16442867004087
"50",0.539288172524721,0.200892603236021
"14",-0.244187807028584,1.27840673089423
"74",0.465268363448442,-0.144891962179722
"9",0.669076768660466,0.0449249582612787
"32",0.24402474728419,-0.0759303756183277
"20",0.755543726071244,-0.14549034955549
"168",0.354892886686187,0.383003866269674
