"R2" "Q2" "correlation.coefficient"
"q2r2$val[5:6]" 0.0626908014649845 -1.27391045941775 -0.0555555555555555
"q2r2$val[5:6]" 0.110019532544735 -2.68653043116485 -0.0555555555555555
"q2r2$val[5:6]" 0.174103022552377 -0.270130641902441 -0.0555555555555555
"q2r2$val[5:6]" 0.0964329470290789 -0.427294237596516 0.155555555555556
"q2r2$val[5:6]" 0.0589107929645981 -2.11662106126094 -0.266666666666667
"q2r2$val[5:6]" 0.129623995755669 -1.09274597886532 -0.0555555555555555
"q2r2$val[5:6]" 0.0858704244376023 -0.930422633017883 0.577777777777778
"q2r2$val[5:6]" 0.455065075072616 0.0146890943352929 -0.688888888888889
"q2r2$val[5:6]" 0.241093554271284 -0.517613491879789 0.155555555555556
"q2r2$val[5:6]" 0.198357597922214 -0.676854411395825 0.155555555555556
"q2r2$val[5:6]" 0.12653429540081 -0.513944813698396 -0.266666666666667
"q2r2$val[5:6]" 0.266188257541496 -0.0110964064508714 0.155555555555556
"q2r2$val[5:6]" 0.251358883701166 0.0242086295812091 -0.0555555555555555
"q2r2$val[5:6]" 0.0860455457129845 -1.08680487864029 -0.0555555555555555
"q2r2$val[5:6]" 0.178094605430454 -0.218310732153798 0.155555555555556
"q2r2$val[5:6]" 0.115258839057509 -0.713768385389434 -0.0555555555555555
"q2r2$val[5:6]" 0.134341855945655 -0.407813023026654 0.155555555555556
"q2r2$val[5:6]" 0.168456599760545 -0.11515236951392 0.155555555555556
"q2r2$val[5:6]" 0.105666743147393 -0.595385866126093 -0.266666666666667
"q2r2$val[5:6]" 0.0842478004384957 -1.14813176654924 -0.0555555555555555
"RQ_line" 0.245748117131737 -0.0324109616491488 1
